SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
4	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Mlole	SIKALWANDA	Huruma	Dispensary	Private	Urban	Private
6	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Mwanga Sokoni	NYERERE	Baptist	Hospital	Religious	Urban	Faith-Based
9	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Katubuka	CHUO CHA H/HEWA	Msufini	Dispensary	LGA	Urban	Public
18	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Kisangani	SDA	Kisangani	Dispensary	Seventh Day Adventists	Urban	Faith-Based
23	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Kilimahewa	KILIMAHEWA	Kilimahewa	Dispensary	TPDF	Urban	Public
27	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Shaurimoyo	RUSIMBI	Mwanga Centre	Dispensary	Private	Urban	Private
32	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Game	GEMU	Kigoma International	Health Centre	Private	Urban	Private
35	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Katonga	KAMARA KISIWANI	Bangwe	Dispensary	LGA	Urban	Public
37	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Kamala	KAMALA MASHARIKI B	Police	Dispensary	Police	Urban	Public
42	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KASKAZINI A	Sokoni	Dispensary	Parastatal TRC	Urban	Public
43	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KASKAZINI B	Upendo	Dispensary	Private	Urban	Private
44	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KUSINI	Kigoma	Dispensary	LGA	Urban	Public
46	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Mjimwema	MJIMWEMA TANGINI	Mjimwema	Dispensary	Prisons	Urban	Public
58	Kigoma MC	Kigoma Kaskazini	Gungu	Kibirizi	RASINI	Gungu	Dispensary	LGA	Urban	Public
70	Kigoma MC	Kigoma Kaskazini	Gungu	Gezaulole	GEZAULOLE	Muzdallifah	Dispensary	Private	Urban	Private
77	Kigoma MC	Kigoma Kusini	Kasimbu	Busomero	NDAHIRIWE	Ujiji	Health Centre	LGA	Urban	Public
82	Kigoma MC	Kigoma Kusini	Buhanda Businde	Mgeo	RELI	Buhanda	Dispensary	LGA	Urban	Public
97	Kigoma MC	Kigoma Kusini	Buhanda Businde	Msufini	GENGE	Businde	Dispensary	LGA	Urban	Public
