id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
12834,Bangata,17759,,436,,MOHSW/LGA,Government,,,2013-01-24 00:17:10.611976+00,2013-01-24 00:17:10.612013+00,16,,f,-3.35846,36.74747,"",Operating,19,"",19,NIMR,202001
12835,Bangata Lutheran,17760,,437,,Lutheran,FBO,,,2013-01-24 00:17:10.645592+00,2013-01-24 00:17:10.645641+00,16,,f,-3.33578,36.74475,"",Operating,17,"",17,NIMR,202002
12836,Burka,17756,,488,,"","",,,2013-01-24 00:17:10.663378+00,2013-01-24 00:17:10.663422+00,16,,f,-3.35974,36.65459,"",Closed,"","","",NIMR,202078
12837,Bwawani,17762,,438,,MOHSW/LGA,Government,,,2013-01-24 00:17:10.69841+00,2013-01-24 00:17:10.698455+00,16,,f,-3.6078,36.88428,"",Operating,15,"",15,NIMR,202003
12838,Chekereni,17756,,477,,"","",,,2013-01-24 00:17:10.718794+00,2013-01-24 00:17:10.718849+00,16,,f,-3.40891,36.74601,"",Closed,"","","",NIMR,202057
12839,COGI Ngaramtoni,17765,,439,,Assemblies of God,FBO,,,2013-01-24 00:17:10.757406+00,2013-01-24 00:17:10.757446+00,16,,f,-3.31576,36.63886,"",Operating,13,"",13,NIMR,202004
12840,Cogi Oldonyosambu,17756,,489,,Assemblies of God,FBO,,,2013-01-24 00:17:10.775418+00,2013-01-24 00:17:10.775459+00,16,,f,,,"",Operating,36,"","","",202079
12841,Ekenywa,17765,,440,,Others,FBO,,,2013-01-24 00:17:10.808224+00,2013-01-24 00:17:10.808269+00,16,,f,,,"",Operating,38,"",38,MMAM,202005
12842,Ilboru,17767,,441,,Lutheran,FBO,,,2013-01-24 00:17:10.843759+00,2013-01-24 00:17:10.843812+00,16,,f,-3.35,36.68833,"",Operating,27,"",27,NIMR,202007
12843,Ilkrevi,17771,,478,,MOHSW/LGA,Government,,,2013-01-24 00:17:10.88162+00,2013-01-24 00:17:10.881669+00,16,,f,,,"",Under Construction,"","","","",202059
12844,Imbibya,17774,,479,,MOHSW/LGA,Government,,,2013-01-24 00:17:10.919217+00,2013-01-24 00:17:10.91925+00,16,,f,,,"",Under Construction,"","","","",202060
12845,K. Maasai,17776,,480,,Others,FBO,,,2013-01-24 00:17:10.95383+00,2013-01-24 00:17:10.953882+00,16,,f,,,"",Operating,"","",37,"",202061
12846,Kimnyaki,17777,,442,,MOHSW/LGA,Government,,,2013-01-24 00:17:10.987485+00,2013-01-24 00:17:10.987536+00,16,,f,-3.29838,36.65682,"",Operating,30,"",30,NIMR,202008
12847,Kimnyaki Maasai,17756,,443,,Private,Private,,,2013-01-24 00:17:11.006082+00,2013-01-24 00:17:11.006135+00,16,,f,-3.31501,36.64099,"",Operating,37,"","",NIMR,202009
12848,Kioga,17779,,444,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.040961+00,2013-01-24 00:17:11.041009+00,16,,f,-3.3255,36.69812,"",Operating,31,"",31,NIMR,202010
12849,Kiranyi,17781,,445,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.075161+00,2013-01-24 00:17:11.075201+00,16,,f,-3.34254,36.66816,"",Operating,10,"",10,NIMR,202011
12850,Kiseriani,17783,,446,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.109038+00,2013-01-24 00:17:11.109082+00,16,,f,-3.45016,36.73889,"",Operating,16,"",16,NIMR,202012
12851,Kisongo charity,17756,,447,,Private,Private,,,2013-01-24 00:17:11.127897+00,2013-01-24 00:17:11.127951+00,16,,f,-3.37388,36.57012,"",Operating,Not Allocated,"","",NIMR,202013
12852,Kisongo Luthreran,17786,,448,,Lutheran,FBO,,,2013-01-24 00:17:11.164344+00,2013-01-24 00:17:11.16438+00,16,,f,-3.35974,36.65459,"",Operating,9,"",46,NIMR,202014
12853,Kisongo SDA,17788,,449,,Private,Private,,,2013-01-24 00:17:11.202912+00,2013-01-24 00:17:11.20295+00,16,,f,-3.37107,36.54669,"",Operating,39,"","",NIMR,202015
12854,Kogi Oldonyosambo,17790,,481,,Private,Private,,,2013-01-24 00:17:11.236832+00,2013-01-24 00:17:11.236886+00,16,,f,,,"",Operating,"","",36,"",202062
12855,Legijave,17756,,450,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.254442+00,2013-01-24 00:17:11.254496+00,16,,f,,,"",Operating,Not Allocated,"","","",202016
12856,Lemugur,17792,,451,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.286463+00,2013-01-24 00:17:11.286623+00,16,,f,-3.43316,36.5608,"",Closed,40,"","",NIMR,202017
12857,Lengijave,17794,,482,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.325775+00,2013-01-24 00:17:11.325825+00,16,,f,,,"",Operating,"","","","",202063
12858,Lesiraa,17795,,452,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.358339+00,2013-01-24 00:17:11.358381+00,16,,f,,,"",Operating,50,"",51,"",202018
12859,Likamba,17797,,453,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.392743+00,2013-01-24 00:17:11.392792+00,16,,f,,,"",Operating,Not Allocated,"","","",202019
12860,Losinoni,17799,,454,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.428171+00,2013-01-24 00:17:11.428205+00,16,,f,-3.13219,36.72003,"",Operating,24,"",24,NIMR,202020
12861,M&M Kiwera,17800,,455,,Private,Private,,,2013-01-24 00:17:11.461155+00,2013-01-24 00:17:11.461198+00,16,,f,,,"",Operating,35,"",35,MMAM,202021
12862,Majimoto,17803,,483,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.496901+00,2013-01-24 00:17:11.496942+00,16,,f,,,"",Under Construction,"","","","",202064
12863,Manyire,17801,,484,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.520129+00,2013-01-24 00:17:11.520171+00,16,,f,,,"",Operating,"","",50,"",202065
12864,Manyire,17806,,490,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.555126+00,2013-01-24 00:17:11.555175+00,16,,f,,,"",Operating,"","","","",202080
12865,Mbuyuni,17808,,456,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.592382+00,2013-01-24 00:17:11.592415+00,17,,f,-3.57432,36.66586,"",Operating,8,"",8,NIMR,202023
12866,Moivo,17756,,457,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.609036+00,2013-01-24 00:17:11.609079+00,16,,f,,,"",Operating,51,"","","",202026
12867,Moshono,17811,,458,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.65022+00,2013-01-24 00:17:11.65026+00,16,,f,-3.40497,36.73009,"",Under Construction,28,"","",NIMR,202027
12868,Mungushi,17812,,459,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.682977+00,2013-01-24 00:17:11.683022+00,16,,f,-3.53055,36.83489,"",Operating,14,"",14,NIMR,202028
12869,Musa,17813,,460,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.720891+00,2013-01-24 00:17:11.720942+00,16,,f,-3.32389,36.52039,"",Operating,7,"",7,NIMR,202029
12870,Mwandet,17815,,461,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.758205+00,2013-01-24 00:17:11.758257+00,16,,f,-3.24042,36.53881,"",Operating,12,"",12,NIMR,202031
12871,Nduruma,17817,,462,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.795968+00,2013-01-24 00:17:11.796011+00,17,,f,-3.48,36.79309,"",Operating,3,"",3,NIMR,202032
12872,Ngires,17819,,463,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.835872+00,2013-01-24 00:17:11.835931+00,16,,f,-3.33731,36.73461,"",Operating,18,"",18,NIMR,202033
12873,Ngorbobo,17820,,464,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.875272+00,2013-01-24 00:17:11.875314+00,16,,f,,,"",Operating,48,"",52,"",202034
12874,Oldadai,17822,,465,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.914247+00,2013-01-24 00:17:11.914303+00,16,,f,,,"",Operating,21,"",21,"",202038
12875,Oldonyo Sambu,17823,,466,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.952675+00,2013-01-24 00:17:11.952719+00,17,,f,-2.10863,35.49841,"",Operating,23,"",23,NIMR,202039
12876,Oldonyo Sapuk,17825,,467,,MOHSW/LGA,Government,,,2013-01-24 00:17:11.997819+00,2013-01-24 00:17:11.997942+00,16,,f,-3.32929,36.70938,"",Operating,43,Edited name from OldonyoSapuk to Oldonyo Sapuk,42,NIMR,202040
12877,Oldonyowasi,17826,,485,,MOHSW/LGA,Government,,,2013-01-24 00:17:12.032101+00,2013-01-24 00:17:12.032144+00,16,,f,,,"",Under Construction,"","","","",202066
12878,Olgilai,17827,,468,,MOHSW/LGA,Government,,,2013-01-24 00:17:12.064821+00,2013-01-24 00:17:12.06487+00,16,,f,-3.34235,36.72194,"",Operating,20,"",20,NIMR,202041
12879,Oljoro,17830,,469,,Private,Private,,,2013-01-24 00:17:12.098772+00,2013-01-24 00:17:12.098811+00,16,,f,-3.33633,36.66015,"",Operating,Not Allocated,"","",NIMR,202042
12880,Oljoro JKT,17831,,470,,TPDF,Government,,,2013-01-24 00:17:12.133033+00,2013-01-24 00:17:12.133074+00,16,,f,-3.4119,36.6599,"",Operating,44,"",44,NIMR,202043
12881,Olkerian,17833,,471,,MOHSW/LGA,Government,,,2013-01-24 00:17:12.167973+00,2013-01-24 00:17:12.168016+00,16,,f,,,"",Under Construction,25,"","","",202044
12882,Olkokola,17835,,472,,RC,FBO,,,2013-01-24 00:17:12.205215+00,2013-01-24 00:17:12.20526+00,17,,f,-3.2466,36.64519,"",Operating,Not Allocated,"",33,NIMR,202045
12883,Olmontonyi,17836,,473,,Parastatal,Government,,,2013-01-24 00:17:12.237719+00,2013-01-24 00:17:12.237764+00,16,,f,-3.29013,36.65655,"",Operating,33,Edited name from Olmotonyi to Olmontonyi,34,NIMR,202047
12884,Oltrument,17838,,474,,MOHSW/LGA,Government,,,2013-01-24 00:17:12.269623+00,2013-01-24 00:17:12.269666+00,17,,f,-3.18181,36.36315,"",Operating,34,"",2,Other,202048
12885,PAG Kisongo,17772,,486,,Private,Private,,,2013-01-24 00:17:12.290329+00,2013-01-24 00:17:12.290372+00,16,,f,,,"",Operating,"","",32,"",202067
12886,SDA kisongo,17840,,487,,SDA,FBO,,,2013-01-24 00:17:12.325236+00,2013-01-24 00:17:12.325279+00,16,,f,,,"",Operating,"","",39,"",202068
12887,Selian Hospital,17841,,7067,,Lutheran,FBO,,,2013-01-24 00:17:12.358875+00,2013-01-24 00:17:12.358908+00,18,,f,,,"",Operating,1,"","","",202052
12888,Themi Ya Simba,17842,,476,,MOHSW/LGA,Government,,,2013-01-24 00:17:12.390427+00,2013-01-24 00:17:12.390468+00,16,,f,-3.58107,36.7854,"",Operating,Not Allocated,"",46,NIMR,202055
