id,title,type_id,parent_region_id,created_at,updated_at
17754,TZ,1,,2013-01-24 00:17:10.575356+00,2013-01-24 00:17:10.57545+00
17755,Arusha,2,17754,2013-01-24 00:17:10.582316+00,2013-01-24 00:17:10.582369+00
17756,Arumeru,3,17755,2013-01-24 00:17:10.588893+00,2013-01-24 00:17:10.58894+00
17757,Moshono,4,17756,2013-01-24 00:17:10.594772+00,2013-01-24 00:17:10.594823+00
17758,Bangata,6,17757,2013-01-24 00:17:10.600714+00,2013-01-24 00:17:10.600765+00
17759,Sasi,5,17758,2013-01-24 00:17:10.606651+00,2013-01-24 00:17:10.606703+00
17760,Bangata,5,17758,2013-01-24 00:17:10.641079+00,2013-01-24 00:17:10.641133+00
17761,Bwawani,6,17757,2013-01-24 00:17:10.687394+00,2013-01-24 00:17:10.68745+00
17762,Bwawani Bwa,5,17761,2013-01-24 00:17:10.693597+00,2013-01-24 00:17:10.693651+00
17763,Enaboishu,4,17756,2013-01-24 00:17:10.743637+00,2013-01-24 00:17:10.743701+00
17764,Kimnyaki,6,17763,2013-01-24 00:17:10.749567+00,2013-01-24 00:17:10.749611+00
17765,N/Mtoni N/mt,5,17764,2013-01-24 00:17:10.754446+00,2013-01-24 00:17:10.754488+00
17766,Moivo,6,17763,2013-01-24 00:17:10.833311+00,2013-01-24 00:17:10.833356+00
17767,Oltulelei Oltu,5,17766,2013-01-24 00:17:10.839841+00,2013-01-24 00:17:10.839896+00
17768,Arusha,3,17755,2013-01-24 00:17:10.861218+00,2013-01-24 00:17:10.861267+00
17769,Enaboishu,4,17768,2013-01-24 00:17:10.866487+00,2013-01-24 00:17:10.866589+00
17770,Olturoto,6,17769,2013-01-24 00:17:10.871502+00,2013-01-24 00:17:10.871544+00
17771,Ilkrevi Ilkrevi,5,17770,2013-01-24 00:17:10.877701+00,2013-01-24 00:17:10.877754+00
17772,Mukulat,4,17768,2013-01-24 00:17:10.903085+00,2013-01-24 00:17:10.903139+00
17773,Mwandet,6,17772,2013-01-24 00:17:10.909149+00,2013-01-24 00:17:10.909194+00
17774,Imbibya,5,17773,2013-01-24 00:17:10.915076+00,2013-01-24 00:17:10.915119+00
17775,Kimnyaki,6,17769,2013-01-24 00:17:10.943988+00,2013-01-24 00:17:10.944032+00
17776,N/Mtoni N/mt,5,17775,2013-01-24 00:17:10.949867+00,2013-01-24 00:17:10.94992+00
17777,Kimnyaki Kim,5,17764,2013-01-24 00:17:10.984014+00,2013-01-24 00:17:10.984068+00
17778,Ilkiding'a,6,17763,2013-01-24 00:17:11.031071+00,2013-01-24 00:17:11.031117+00
17779,Ilkiding'a,5,17778,2013-01-24 00:17:11.037136+00,2013-01-24 00:17:11.03719+00
17780,Kiranyi,6,17763,2013-01-24 00:17:11.065702+00,2013-01-24 00:17:11.065746+00
