SN	REGION CODE	REGION NAME	DISTRICT CODE	DISTRICT (CENTRAL GOVERNMENT)	DISTRICT	OLD ID	TEMP ID (CURRENT)	CURRENT ID	NAME	ALTERNATIVE NAME(S)	STATUS	REMARKS	HMIS (MSIMBO)	DIVISION	WARD	VILLAGE/STREET	REGISTRATION No.	HF TYPE	OWNERSHIP	OWNERSHIP DETAIL	LATITUDE	LONGITUDE	SOURCE
436	2	Arusha	2	Arumeru Disrict	Arusha DC	202017	1	202001	Bangata		Operating		19	Moshono	Bangata	Sasi	19	Dispensary	Government	MOHSW/LGA	-3.35846	36.74747	NIMR
437	2	Arusha	2	Arumeru Disrict	Arusha DC	202018	2	202002	Bangata Lutheran		Operating		17	Moshono	Bangata	Bangata	17	Dispensary	FBO	Lutheran	-3.33578	36.74475	NIMR
488	2	Arusha	2	Arumeru Disrict	Arusha DC	202024	78	202078	Burka		Closed							Dispensary			-3.35974	36.65459	NIMR
438	2	Arusha	2	Arumeru Disrict	Arusha DC	202025	3	202003	Bwawani		Operating		15	Moshono	Bwawani	Bwawani Bwa	15	Dispensary	Government	MOHSW/LGA	-3.6078	36.88428	NIMR
477	2	Arusha	2	Arumeru Disrict	Arusha DC	202027	57	202057	Chekereni		Closed							Dispensary			-3.40891	36.74601	NIMR
439	2	Arusha	2	Arumeru Disrict	Arusha DC	202034	4	202004	COGI Ngaramtoni		Operating		13	Enaboishu	Kimnyaki	N/Mtoni N/mt	13	Dispensary	FBO	Assemblies of God	-3.31576	36.63886	NIMR
489	2	Arusha	2	Arumeru Disrict	Arusha DC		79	202079	Cogi Oldonyosambu		Operating		36		Mukulat	Oldonyosmabu		Dispensary	FBO	Assemblies of God			
440	2	Arusha	2	Arumeru Disrict	Arusha DC	202321	5	202005	Ekenywa		Operating		38	Enaboishu	Kimnyaki	N/Mtoni N/mt	38	Dispensary	FBO	Others			MMAM
441	2	Arusha	2	Arumeru Disrict	Arusha DC	202072	7	202007	Ilboru		Operating		27	Enaboishu	Moivo	Oltulelei Oltu	27	Dispensary	FBO	Lutheran	-3.35	36.68833	NIMR
478	2	Arusha	2	Arusha DC	Arusha DC		59	202059	Ilkrevi		Under Construction			Enaboishu	Olturoto	Ilkrevi Ilkrevi		Dispensary	Government	MOHSW/LGA			
479	2	Arusha	2	Arusha DC	Arusha DC		60	202060	Imbibya		Under Construction			Mukulat	Mwandet	Imbibya		Dispensary	Government	MOHSW/LGA			
480	2	Arusha	2	Arusha DC	Arusha DC		61	202061	K. Maasai		Operating			Enaboishu	Kimnyaki	N/Mtoni N/mt	37	Dispensary	FBO	Others			
442	2	Arusha	2	Arumeru Disrict	Arusha DC	202096	8	202008	Kimnyaki		Operating		30	Enaboishu	Kimnyaki	Kimnyaki Kim	30	Dispensary	Government	MOHSW/LGA	-3.29838	36.65682	NIMR
443	2	Arusha	2	Arumeru Disrict	Arusha DC	202097	9	202009	Kimnyaki Maasai		Operating		37		Kimnyaki			Dispensary	Private	Private	-3.31501	36.64099	NIMR
444	2	Arusha	2	Arumeru Disrict	Arusha DC	202101	10	202010	Kioga		Operating		31	Enaboishu	Ilkiding'a	Ilkiding'a	31	Dispensary	Government	MOHSW/LGA	-3.3255	36.69812	NIMR
445	2	Arusha	2	Arumeru Disrict	Arusha DC	202103	11	202011	Kiranyi		Operating		10	Enaboishu	Kiranyi	Kiranyi Kira	10	Dispensary	Government	MOHSW/LGA	-3.34254	36.66816	NIMR
446	2	Arusha	2	Arumeru Disrict	Arusha DC	202106	12	202012	Kiseriani		Operating		16	Moshono	Mlangarini	Kiserian Kise	16	Dispensary	Government	MOHSW/LGA	-3.45016	36.73889	NIMR
447	2	Arusha	2	Arumeru Disrict	Arusha DC	202108	13	202013	Kisongo charity		Operating		Not Allocated		Mateves	Ngorbob		Dispensary	Private	Private	-3.37388	36.57012	NIMR
448	2	Arusha	2	Arumeru Disrict	Arusha DC	202109	14	202014	Kisongo Luthreran		Operating		9	Mukulat	Kisongo	Lovilukunyi	46	Dispensary	FBO	Lutheran	-3.35974	36.65459	NIMR
449	2	Arusha	2	Arumeru Disrict	Arusha DC	202110	15	202015	Kisongo SDA		Operating		39	Moshono	Kisongo	Engolora		Dispensary	Private	Private	-3.37107	36.54669	NIMR
